,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
0,South Vietnam,Southeast Asia,Pleiku,108.002298,13.977955999999999,Bombing/Explosion,81.0,0.0,6-15-1972,81.0
1,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,1.0,238.0,3-8-1973,239.0
2,Greece,Western Europe,Athens,23.716647000000002,37.97918,Bombing/Explosion,5.0,55.0,8-5-1973,60.0
3,Italy,Western Europe,Rome,12.494249,41.89052,Hostage Taking (Barricade Incident),30.0,50.0,12-17-1973,80.0
4,Italy,Western Europe,Bologna,11.346518,44.49419,Bombing/Explosion,12.0,48.0,8-4-1974,60.0
5,Greece,Western Europe,Athens,23.716647000000002,37.97918,Bombing/Explosion,88.0,0.0,9-8-1974,88.0
6,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,12.0,70.0,9-13-1974,82.0
7,Great Britain,Western Europe,Birmingham,-1.8935919999999997,52.482960999999996,Bombing/Explosion,10.5,81.0,11-21-1974,91.5
8,Great Britain,Western Europe,Birmingham,-1.8935919999999997,52.482960999999996,Bombing/Explosion,10.5,81.0,11-21-1974,91.5
9,United States,North America,New York City,-74.007124,40.71455,Bombing/Explosion,4.0,53.0,1-24-1975,57.0
10,United States,North America,New York City,-73.829959,40.713985,Bombing/Explosion,11.0,74.0,12-29-1975,85.0
11,Barbados,Central America & Caribbean,Grantly Adams International Airport,-59.493007999999996,13.077333,Bombing/Explosion,73.0,0.0,10-6-1976,73.0
12,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,10.0,285.0,12-15-1976,295.0
13,Thailand,Southeast Asia,Yala Province,101.251838,6.201532,Assassination,1.0,50.0,9-22-1977,51.0
14,Malaysia,Southeast Asia,Penang,100.46079499999999,5.299445,Hijacking,100.0,0.0,12-4-1977,100.0
15,Nicaragua,Central America & Caribbean,Achuapa,-86.58912099999999,13.052295,Armed Assault,34.0,20.0,11-30-1978,54.0
16,Myanmar,Southeast Asia,Thaton,97.36544599999999,16.933177,Bombing/Explosion,5.0,60.0,3-9-1979,65.0
17,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,2.0,50.0,7-29-1979,52.0
