,month,killed,wounded
7,1970-01-01 00:00:00,2,4
499,1970-02-01 00:00:00,55,24
176,1970-03-01 00:00:00,7,21
336,1970-04-01 00:00:00,39,17
155,1970-05-01 00:00:00,6,43
231,1970-06-01 00:00:00,10,44
95,1970-07-01 00:00:00,6,4
438,1970-08-01 00:00:00,10,15
82,1970-09-01 00:00:00,5,5
386,1970-10-01 00:00:00,3,6
335,1970-11-01 00:00:00,4,3
166,1970-12-01 00:00:00,1,5
6,1971-01-01 00:00:00,5,3
500,1971-02-01 00:00:00,1,0
175,1971-03-01 00:00:00,0,10
477,1971-04-01 00:00:00,13,5
154,1971-05-01 00:00:00,4,9
232,1971-06-01 00:00:00,1,0
94,1971-07-01 00:00:00,1,0
439,1971-08-01 00:00:00,3,3
81,1971-09-01 00:00:00,2,11
387,1971-10-01 00:00:00,0,0
334,1971-11-01 00:00:00,2,27
167,1971-12-01 00:00:00,0,4
5,1972-01-01 00:00:00,31,16
497,1972-02-01 00:00:00,15,38
178,1972-03-01 00:00:00,6,2
338,1972-04-01 00:00:00,2,8
153,1972-05-01 00:00:00,36,131
229,1972-06-01 00:00:00,82,0
97,1972-07-01 00:00:00,1,0
440,1972-08-01 00:00:00,1,15
80,1972-09-01 00:00:00,1,1
388,1972-10-01 00:00:00,4,6
473,1972-11-01 00:00:00,5,2
164,1972-12-01 00:00:00,6,2
4,1973-01-01 00:00:00,24,23
498,1973-02-01 00:00:00,4,2
177,1973-03-01 00:00:00,2,240
479,1973-04-01 00:00:00,6,2
152,1973-05-01 00:00:00,7,2
230,1973-06-01 00:00:00,4,0
96,1973-07-01 00:00:00,3,2
441,1973-08-01 00:00:00,8,64
79,1973-09-01 00:00:00,8,4
389,1973-10-01 00:00:00,11,25
332,1973-11-01 00:00:00,4,1
38,1973-12-01 00:00:00,45,130
3,1974-01-01 00:00:00,6,11
503,1974-02-01 00:00:00,19,29
180,1974-03-01 00:00:00,2,2
472,1974-04-01 00:00:00,14,5
159,1974-05-01 00:00:00,42,78
227,1974-06-01 00:00:00,13,24
131,1974-07-01 00:00:00,2,49
442,1974-08-01 00:00:00,19,90
78,1974-09-01 00:00:00,111,104
390,1974-10-01 00:00:00,7,33
339,1974-11-01 00:00:00,31,210
162,1974-12-01 00:00:00,5,106
2,1975-01-01 00:00:00,10,65
504,1975-02-01 00:00:00,3,5
179,1975-03-01 00:00:00,32,102
333,1975-04-01 00:00:00,4,17
158,1975-05-01 00:00:00,7,0
228,1975-06-01 00:00:00,4,48
90,1975-07-01 00:00:00,8,11
443,1975-08-01 00:00:00,8,5
77,1975-09-01 00:00:00,6,52
391,1975-10-01 00:00:00,53,66
478,1975-11-01 00:00:00,39,67
163,1975-12-01 00:00:00,28,92
1,1976-01-01 00:00:00,35,14
501,1976-02-01 00:00:00,20,5
182,1976-03-01 00:00:00,10,3
474,1976-04-01 00:00:00,21,35
157,1976-05-01 00:00:00,46,80
225,1976-06-01 00:00:00,32,60
93,1976-07-01 00:00:00,31,40
444,1976-08-01 00:00:00,41,35
76,1976-09-01 00:00:00,23,44
392,1976-10-01 00:00:00,97,66
337,1976-11-01 00:00:00,17,18
17,1976-12-01 00:00:00,29,331
0,1977-01-01 00:00:00,26,11
502,1977-02-01 00:00:00,6,3
181,1977-03-01 00:00:00,16,27
475,1977-04-01 00:00:00,11,2
156,1977-05-01 00:00:00,26,92
226,1977-06-01 00:00:00,13,40
92,1977-07-01 00:00:00,9,35
445,1977-08-01 00:00:00,11,13
75,1977-09-01 00:00:00,24,115
393,1977-10-01 00:00:00,54,89
476,1977-11-01 00:00:00,17,45
161,1977-12-01 00:00:00,140,24
15,1978-01-01 00:00:00,39,64
494,1978-02-01 00:00:00,49,145
173,1978-03-01 00:00:00,76,188
329,1978-04-01 00:00:00,19,149
151,1978-05-01 00:00:00,31,47
223,1978-06-01 00:00:00,61,37
295,1978-07-01 00:00:00,22,20
446,1978-08-01 00:00:00,585,318
74,1978-09-01 00:00:00,58,88
384,1978-10-01 00:00:00,77,78
328,1978-11-01 00:00:00,83,108
170,1978-12-01 00:00:00,46,209
14,1979-01-01 00:00:00,201,218
495,1979-02-01 00:00:00,222,206
172,1979-03-01 00:00:00,147,235
330,1979-04-01 00:00:00,119,173
150,1979-05-01 00:00:00,302,280
224,1979-06-01 00:00:00,109,214
123,1979-07-01 00:00:00,106,340
447,1979-08-01 00:00:00,197,109
73,1979-09-01 00:00:00,118,179
385,1979-10-01 00:00:00,110,201
327,1979-11-01 00:00:00,113,145
171,1979-12-01 00:00:00,93,141
207,1980-01-01 00:00:00,195,269
421,1980-02-01 00:00:00,164,284
194,1980-03-01 00:00:00,348,311
29,1980-04-01 00:00:00,427,453
507,1980-05-01 00:00:00,456,187
312,1980-06-01 00:00:00,328,428
480,1980-07-01 00:00:00,209,271
276,1980-08-01 00:00:00,696,340
26,1980-09-01 00:00:00,339,495
433,1980-10-01 00:00:00,335,210
482,1980-11-01 00:00:00,285,139
414,1980-12-01 00:00:00,163,170
208,1981-01-01 00:00:00,449,169
420,1981-02-01 00:00:00,397,255
195,1981-03-01 00:00:00,480,199
28,1981-04-01 00:00:00,323,345
508,1981-05-01 00:00:00,281,184
311,1981-06-01 00:00:00,504,266
481,1981-07-01 00:00:00,320,162
275,1981-08-01 00:00:00,250,275
27,1981-09-01 00:00:00,436,347
432,1981-10-01 00:00:00,418,598
485,1981-11-01 00:00:00,372,241
413,1981-12-01 00:00:00,517,283
205,1982-01-01 00:00:00,576,116
419,1982-02-01 00:00:00,511,333
196,1982-03-01 00:00:00,429,246
31,1982-04-01 00:00:00,365,159
505,1982-05-01 00:00:00,489,233
310,1982-06-01 00:00:00,356,127
