,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
0,Switzerland,Western Europe,Zurich,8.539182,47.36865,Bombing/Explosion,47.0,0.0,2-21-1970,47.0
1,South Vietnam,Southeast Asia,Pleiku,108.002298,13.977955999999999,Bombing/Explosion,81.0,0.0,6-15-1972,81.0
2,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,1.0,238.0,3-8-1973,239.0
3,Greece,Western Europe,Athens,23.716647000000002,37.97918,Bombing/Explosion,5.0,55.0,8-5-1973,60.0
4,Italy,Western Europe,Rome,12.494249,41.89052,Hostage Taking (Barricade Incident),30.0,50.0,12-17-1973,80.0
5,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,0.0,34.0,12-18-1973,34.0
6,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,1.0,41.0,7-17-1974,42.0
7,Italy,Western Europe,Bologna,11.346518,44.49419,Bombing/Explosion,12.0,48.0,8-4-1974,60.0
8,United States,North America,Los Angeles,-118.245319,34.053490000000004,Bombing/Explosion,3.0,36.0,8-6-1974,39.0
9,Greece,Western Europe,Athens,23.716647000000002,37.97918,Bombing/Explosion,88.0,0.0,9-8-1974,88.0
10,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,12.0,70.0,9-13-1974,82.0
11,Great Britain,Western Europe,Birmingham,-1.8935919999999997,52.482960999999996,Bombing/Explosion,10.5,81.0,11-21-1974,91.5
12,Great Britain,Western Europe,Birmingham,-1.8935919999999997,52.482960999999996,Bombing/Explosion,10.5,81.0,11-21-1974,91.5
13,United States,North America,New York City,-74.007124,40.71455,Bombing/Explosion,4.0,53.0,1-24-1975,57.0
14,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,2.0,40.0,9-5-1975,42.0
15,United States,North America,New York City,-73.829959,40.713985,Bombing/Explosion,11.0,74.0,12-29-1975,85.0
16,Syria,Middle East & North Africa,Aleppo,37.142588,36.212989,Hostage Taking (Barricade Incident),5.0,34.0,9-26-1976,39.0
17,Barbados,Central America & Caribbean,Grantly Adams International Airport,-59.493007999999996,13.077333,Bombing/Explosion,73.0,0.0,10-6-1976,73.0
18,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,10.0,285.0,12-15-1976,295.0
19,Thailand,Southeast Asia,Yala Province,101.251838,6.201532,Assassination,1.0,50.0,9-22-1977,51.0
20,Malaysia,Southeast Asia,Penang,100.46079499999999,5.299445,Hijacking,100.0,0.0,12-4-1977,100.0
21,Nicaragua,Central America & Caribbean,Granada,-85.95602,11.929880,Bombing/Explosion,14.0,24.0,2-2-1978,38.0
22,Northern Ireland,Western Europe,Belfast,-5.930109,54.597269,Bombing/Explosion,14.0,25.0,2-17-1978,39.0
23,Nicaragua,Central America & Caribbean,Achuapa,-86.58912099999999,13.052295,Armed Assault,34.0,20.0,11-30-1978,54.0
24,Pakistan,South Asia,Peshwar,71.579994,34.009667,Bombing/Explosion,6.0,40.0,2-1-1979,46.0
25,Myanmar,Southeast Asia,Thaton,97.36544599999999,16.933177,Bombing/Explosion,5.0,60.0,3-9-1979,65.0
26,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,8.0,39.0,5-26-1979,47.0
27,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,2.0,50.0,7-29-1979,52.0
28,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,2.0,50.0,7-29-1979,52.0
29,Afghanistan,South Asia,Ghazni,68.41667,33.55,Bombing/Explosion,50.0,0.0,8-27-1979,50.0
30,El Salvador,Central America & Caribbean,San Salvador,-89.199161,13.692879999999999,Bombing/Explosion,7.0,30.0,9-25-1979,37.0
31,Tunisia,Middle East & North Africa,Gafsa,8.784167,34.425,Bombing/Explosion,41.0,100.0,1-27-1980,141.0
32,Syria,Middle East & North Africa,Aleppo,37.142588,36.212989,Bombing/Explosion,34.0,0.0,2-18-1980,34.0
33,Thailand,Southeast Asia,Bangkok,100.524123,13.727896,Bombing/Explosion,19.0,25.0,4-11-1980,44.0
34,Pakistan,South Asia,Peshawar,71.579994,34.009667,Bombing/Explosion,17.0,18.0,5-8-1980,35.0
35,El Salvador,Central America & Caribbean,El Trifinio,-88.432142,13.553101999999999,Armed Assault,50.0,0.0,5-17-1980,50.0
36,El Salvador,Central America & Caribbean,Chalatenango,-88.938568,14.04111,Armed Assault,50.0,0.0,5-17-1980,50.0
37,El Salvador,Central America & Caribbean,El Trifino,-88.432142,13.553101999999999,Armed Assault,50.0,0.0,5-17-1980,50.0
38,El Salvador,Central America & Caribbean,Osicala,-88.145787,13.805691,Armed Assault,40.0,100.0,6-2-1980,140.0
39,El Salvador,Central America & Caribbean,San Salvador,-89.199161,13.692879999999999,Armed Assault,25.0,12.0,6-26-1980,37.0
40,Thailand,Southeast Asia,Bangkok,100.524123,13.727896,Bombing/Explosion,0.0,31.0,6-30-1980,31.0
41,Spain,Western Europe,Logrono,-2.449995,42.465776,Bombing/Explosion,1.0,34.0,7-22-1980,35.0
42,Guatemala,Central America & Caribbean,San Juan Cotzal,-91.035556,15.435278,Armed Assault,32.0,6.0,7-28-1980,38.0
43,Italy,Western Europe,Bologna,11.346518,44.49419,Bombing/Explosion,76.0,188.0,8-2-1980,264.0
44,El Salvador,Central America & Caribbean,Potonico,-88.892274,13.965554000000001,Armed Assault,47.0,0.0,8-7-1980,47.0
45,El Salvador,Central America & Caribbean,Suchitoto,-89.025836,13.933732000000001,Armed Assault,300.0,0.0,8-15-1980,300.0
46,Great Britain,Western Europe,London,-0.126236,51.500152,Facility/Infrastructure Attack,37.0,23.0,8-16-1980,60.0
47,El Salvador,Central America & Caribbean,Aguilares,-89.189722,13.957222,Armed Assault,35.0,0.0,8-16-1980,35.0
48,Guatemala,Central America & Caribbean,Guatemala City,-90.53288,14.624422000000001,Bombing/Explosion,8.0,80.0,9-5-1980,88.0
