"date","total","drivers","front","rear","kms"
"01 Jan 1969",2823,1687,867,269,9059
"01 Feb 1969",2598,1508,825,265,7685
"01 Mar 1969",2632,1507,806,319,9963
"01 Apr 1969",2606,1385,814,407,10955
"01 May 1969",3077,1632,991,454,11823
"01 Jun 1969",2883,1511,945,427,12391
"01 Jul 1969",3085,1559,1004,522,13460
"01 Aug 1969",3257,1630,1091,536,14055
"01 Sep 1969",2942,1579,958,405,12106
"01 Oct 1969",2940,1653,850,437,11372
"01 Nov 1969",3695,2152,1109,434,9834
"01 Dec 1969",3698,2148,1113,437,9267
"01 Jan 1970",2993,1752,925,316,9130
"01 Feb 1970",2979,1765,903,311,8933
"01 Mar 1970",3074,1717,1006,351,11000
"01 Apr 1970",2812,1558,892,362,10733
"01 May 1970",3051,1575,990,486,12912
"01 Jun 1970",2815,1520,866,429,12926
"01 Jul 1970",3451,1805,1095,551,13990
"01 Aug 1970",3650,1800,1204,646,14926
"01 Sep 1970",3204,1719,1029,456,12900
"01 Oct 1970",3630,2008,1147,475,12034
"01 Nov 1970",3869,2242,1171,456,10643
"01 Dec 1970",4245,2478,1299,468,10742
"01 Jan 1971",3330,2030,944,356,10266
"01 Feb 1971",2800,1655,874,271,10281
"01 Mar 1971",2887,1693,840,354,11527
"01 Apr 1971",2943,1623,893,427,12281
"01 May 1971",3277,1805,1007,465,13587
"01 Jun 1971",3159,1746,973,440,13049
"01 Jul 1971",3431,1795,1097,539,16055
"01 Aug 1971",3766,1926,1194,646,15220
"01 Sep 1971",3064,1619,988,457,13824
"01 Oct 1971",3515,1992,1077,446,12729
"01 Nov 1971",3680,2233,1045,402,11467
"01 Dec 1971",3748,2192,1115,441,11351
"01 Jan 1972",3444,2080,1005,359,10803
"01 Feb 1972",2959,1768,857,334,10548
"01 Mar 1972",3026,1835,879,312,12368
"01 Apr 1972",2883,1569,887,427,13311
"01 May 1972",3485,1976,1075,434,13885
"01 Jun 1972",3460,1853,1121,486,14088
"01 Jul 1972",3724,1965,1190,569,16932
"01 Aug 1972",3270,1689,1058,523,16164
"01 Sep 1972",3135,1778,939,418,14883
"01 Oct 1972",3502,1976,1074,452,13532
"01 Nov 1972",3948,2397,1089,462,12220
"01 Dec 1972",4359,2654,1208,497,12025
"01 Jan 1973",3354,2097,903,354,11692
"01 Feb 1973",3226,1963,916,347,11081
"01 Mar 1973",2740,1677,787,276,13745
"01 Apr 1973",3527,1941,1114,472,14382
"01 May 1973",3504,2003,1014,487,14391
"01 Jun 1973",3340,1813,1022,505,15597
"01 Jul 1973",3745,2012,1114,619,16834
"01 Aug 1973",3684,1912,1132,640,17282
"01 Sep 1973",3754,2084,1111,559,15779
"01 Oct 1973",3541,2080,1008,453,13946
"01 Nov 1973",3452,2118,916,418,12701
"01 Dec 1973",3561,2150,992,419,10431
"01 Jan 1974",2601,1608,731,262,11616
"01 Feb 1974",2467,1503,665,299,10808
"01 Mar 1974",2575,1548,724,303,12421
"01 Apr 1974",2527,1382,744,401,13605
"01 May 1974",3054,1731,910,413,14455
"01 Jun 1974",3107,1798,883,426,15019
"01 Jul 1974",3195,1779,900,516,15662
"01 Aug 1974",3544,1887,1057,600,16745
"01 Sep 1974",3539,2004,1076,459,14717
"01 Oct 1974",3439,2077,919,443,13756
"01 Nov 1974",3424,2092,920,412,12531
"01 Dec 1974",3404,2051,953,400,12568
"01 Jan 1975",2519,1577,664,278,11249
"01 Feb 1975",2265,1356,607,302,11096
"01 Mar 1975",2810,1652,777,381,12637
"01 Apr 1975",2294,1382,633,279,13018
"01 May 1975",2752,1519,791,442,15005
"01 Jun 1975",2620,1421,790,409,15235
"01 Jul 1975",2661,1442,803,416,15552
"01 Aug 1975",2938,1543,884,511,16905
"01 Sep 1975",2818,1656,769,393,14776
"01 Oct 1975",2638,1561,732,345,14104
"01 Nov 1975",3155,1905,859,391,12854
"01 Dec 1975",3663,2199,994,470,12956
"01 Jan 1976",2443,1473,704,266,12177
"01 Feb 1976",2651,1655,684,312,11918
"01 Mar 1976",2378,1407,671,300,13517
"01 Apr 1976",2411,1395,643,373,14417
"01 May 1976",2713,1530,771,412,15911
"01 Jun 1976",2275,1309,644,322,15589
"01 Jul 1976",2812,1526,828,458,16543
"01 Aug 1976",2502,1327,748,427,17925
"01 Sep 1976",2740,1627,767,346,15406
"01 Oct 1976",2994,1748,825,421,14601
"01 Nov 1976",3112,1958,810,344,13107
"01 Dec 1976",3630,2274,986,370,12268
"01 Jan 1977",2653,1648,714,291,11972
"01 Feb 1977",2192,1401,567,224,12028
"01 Mar 1977",2293,1411,616,266,14033
"01 Apr 1977",2419,1403,678,338,14244
"01 May 1977",2434,1394,742,298,15287
"01 Jun 1977",2746,1520,840,386,16954
"01 Jul 1977",2895,1528,888,479,17361
"01 Aug 1977",2968,1643,852,473,17694
"01 Sep 1977",2621,1515,774,332,16222
"01 Oct 1977",2907,1685,831,391,14969
"01 Nov 1977",3259,2000,889,370,13624
"01 Dec 1977",3692,2215,1046,431,13842
"01 Jan 1978",3211,1956,889,366,12387
"01 Feb 1978",2338,1462,626,250,11608
"01 Mar 1978",2726,1563,808,355,15021
"01 Apr 1978",2509,1459,746,304,14834
"01 May 1978",2579,1446,754,379,16565
"01 Jun 1978",2927,1622,865,440,16882
"01 Jul 1978",3137,1657,980,500,18012
"01 Aug 1978",3108,1638,959,511,18855
"01 Sep 1978",2883,1643,856,384,17243
"01 Oct 1978",2847,1683,798,366,16045
"01 Nov 1978",3424,2050,942,432,14745
"01 Dec 1978",3662,2262,1010,390,13726
"01 Jan 1979",2915,1813,796,306,11196
"01 Feb 1979",2320,1445,643,232,12105
"01 Mar 1979",2898,1762,794,342,14723
"01 Apr 1979",2540,1461,750,329,15582
"01 May 1979",2759,1556,809,394,16863
"01 Jun 1979",2502,1431,716,355,16758
"01 Jul 1979",2663,1427,851,385,17434
"01 Aug 1979",2948,1554,931,463,18359
"01 Sep 1979",2932,1645,834,453,17189
"01 Oct 1979",2788,1653,762,373,16909
"01 Nov 1979",3297,2016,880,401,15380
"01 Dec 1979",3750,2207,1077,466,15161
"01 Jan 1980",2719,1665,748,306,14027
"01 Feb 1980",2217,1361,593,263,14478
"01 Mar 1980",2549,1506,720,323,16155
"01 Apr 1980",2316,1360,646,310,16585
"01 May 1980",2642,1453,765,424,18117
"01 Jun 1980",2745,1522,820,403,17552
"01 Jul 1980",2673,1460,807,406,18299
"01 Aug 1980",2903,1552,885,466,19361
"01 Sep 1980",2732,1548,803,381,17924
"01 Oct 1980",3056,1827,860,369,17872
"01 Nov 1980",2940,1737,825,378,16058
"01 Dec 1980",3244,1941,911,392,15746
"01 Jan 1981",2462,1474,704,284,15226
"01 Feb 1981",2465,1458,691,316,14932
"01 Mar 1981",2551,1542,688,321,16846
"01 Apr 1981",2476,1404,714,358,16854
"01 May 1981",2714,1522,814,378,18146
"01 Jun 1981",2503,1385,736,382,17559
"01 Jul 1981",2950,1641,876,433,18655
"01 Aug 1981",2845,1510,829,506,19453
"01 Sep 1981",2927,1681,818,428,17923
"01 Oct 1981",3359,1938,942,479,17915
"01 Nov 1981",3020,1868,782,370,16496
"01 Dec 1981",2898,1726,823,349,13544
"01 Jan 1982",2289,1456,595,238,13601
"01 Feb 1982",2403,1445,673,285,15667
"01 Mar 1982",2440,1456,660,324,17358
"01 Apr 1982",2387,1365,676,346,18112
"01 May 1982",2652,1487,755,410,18581
"01 Jun 1982",2784,1558,815,411,18759
"01 Jul 1982",2851,1488,867,496,20668
"01 Aug 1982",3151,1684,933,534,21040
"01 Sep 1982",2788,1594,798,396,18993
"01 Oct 1982",3270,1850,950,470,18668
"01 Nov 1982",3208,1998,825,385,16768
"01 Dec 1982",3401,2079,911,411,16551
"01 Jan 1983",2394,1494,619,281,16231
"01 Feb 1983",1783,1057,426,300,15511
"01 Mar 1983",2011,1218,475,318,18308
"01 Apr 1983",2115,1168,556,391,17793
"01 May 1983",2193,1236,559,398,19205
"01 Jun 1983",1896,1076,483,337,19162
"01 Jul 1983",2238,1174,587,477,20997
"01 Aug 1983",2176,1139,615,422,20705
"01 Sep 1983",2540,1427,618,495,18759
"01 Oct 1983",2620,1487,662,471,19240
"01 Nov 1983",2370,1483,519,368,17504
"01 Dec 1983",2443,1513,585,345,16591
"01 Jan 1984",2136,1357,483,296,16224
"01 Feb 1984",1918,1165,434,319,16670
"01 Mar 1984",2144,1282,513,349,18539
"01 Apr 1984",2033,1110,548,375,19759
"01 May 1984",2324,1297,586,441,19584
"01 Jun 1984",2172,1185,522,465,19976
"01 Jul 1984",2295,1222,601,472,21486
"01 Aug 1984",2449,1284,644,521,21626
"01 Sep 1984",2516,1444,643,429,20195
"01 Oct 1984",2624,1575,641,408,19928
"01 Nov 1984",2938,1737,711,490,18564
"01 Dec 1984",2975,1763,721,491,18149
