"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"$windle 2002","$windle","2002","93",NA,"5.3","200","R","1","0","0","1","0","0","0"
"'R Xmas 2001","'R Xmas","2001","83",NA,"4.9","288","R","0","0","0","1","0","0","0"
"10 Things I Hate About You 1999","10 Things I Hate About You","1999","97","16000000","6.7","19095","PG-13","0","0","1","0","0","1","0"
"100 Girls 2000","100 Girls","2000","90",NA,"5.8","3349","R","0","0","1","0","0","1","0"
"100 Mile Rule 2002","100 Mile Rule","2002","98","1100000","5.6","181","R","0","0","1","0","0","0","0"
"11:11 2004","11:11","2004","95",NA,"4.3","222","R","0","0","0","0","0","0","0"
"13 Going On 30 2004","13 Going On 30","2004","98","37000000","6.4","7859","PG-13","0","0","1","1","0","1","0"
"13 Moons 2002","13 Moons","2002","93",NA,"5.6","196","R","0","0","1","0","0","0","0"
"13th Warrior, The 1999","13th Warrior, The","1999","102","85000000","6.1","14344","R","1","0","0","0","0","0","0"
"15 Minutes 2001","15 Minutes","2001","120","42000000","6.1","10866","R","0","0","0","1","0","0","0"
"2 Fast 2 Furious 2003","2 Fast 2 Furious","2003","107","76000000","5.1","9556","PG-13","1","0","0","0","0","0","0"
"200 Cigarettes 1999","200 Cigarettes","1999","101","6000000","5.4","4514","R","0","0","1","1","0","0","0"
"2001 Yonggary 1999","2001 Yonggary","1999","99",NA,"3.1","241","PG-13","1","0","0","0","0","0","0"
"2001: A Space Travesty 2000","2001: A Space Travesty","2000","99","26000000","2.5","2023","R","0","0","1","0","0","0","0"
"2009: Lost Memories 2002","2009: Lost Memories","2002","136",NA,"6.6","639","R","1","0","0","1","0","0","0"
"2046 2004","2046","2004","129","12000000","7.6","2663","R","0","0","0","1","0","1","0"
"21 Grams 2003","21 Grams","2003","124","20000000","8.0","21857","R","0","0","0","1","0","0","0"
"24 Hour Party People 2002","24 Hour Party People","2002","117",NA,"7.2","3603","R","0","0","1","1","0","0","0"
"24 Hour Woman, The 1999","24 Hour Woman, The","1999","93","2500000","5.6","149","R","0","0","1","0","0","0","0"
"24 Hours in London 2000","24 Hours in London","2000","90",NA,"3.8","242","R","0","0","0","0","0","0","0"
"24th Day, The 2004","24th Day, The","2004","92",NA,"6.4","502","R","0","0","0","0","0","0","0"
"25th Hour 2002","25th Hour","2002","135","15000000","7.8","15788","R","0","0","0","1","0","0","0"
"28 Days 2000","28 Days","2000","103","43000000","6.0","7465","PG-13","0","0","0","1","0","0","0"
"28 Days Later... 2002","28 Days Later...","2002","113","8000000","7.3","24174","R","0","0","0","0","0","0","0"
"29 Palms 2002","29 Palms","2002","93",NA,"4.7","406","R","0","0","1","1","0","0","0"
"3-Way 2004","3-Way","2004","88",NA,"4.6","177","R","0","0","0","1","0","0","0"
"3000 Miles to Graceland 2001","3000 Miles to Graceland","2001","125","62000000","5.4","7298","R","1","0","1","0","0","0","0"
"40 Days and 40 Nights 2002","40 Days and 40 Nights","2002","96","17000000","5.4","8609","R","0","0","1","1","0","1","0"
"4th Floor, The 1999","4th Floor, The","1999","90",NA,"5.7","1088","R","0","0","0","0","0","0","0"
"50 First Dates 2004","50 First Dates","2004","99","75000000","6.8","13497","PG-13","0","0","1","0","0","1","0"
"51st State, The 2001","51st State, The","2001","92","28000000","6.1","6752","R","1","0","1","0","0","0","0"
"5x2 2004","5x2","2004","90",NA,"6.6","691","R","0","0","0","1","0","1","0"
"6th Day, The 2000","6th Day, The","2000","123","82000000","5.9","12064","PG-13","1","0","0","0","0","0","0"
"8 Mile 2002","8 Mile","2002","110","41000000","6.8","17900","R","0","0","0","1","0","0","0"
"8 femmes 2002","8 femmes","2002","111",NA,"7.1","5503","R","0","0","1","0","0","0","0"
"800 balas 2002","800 balas","2002","124",NA,"6.5","404","R","0","0","1","0","0","0","0"
"8MM 1999","8MM","1999","123","40000000","5.9","18541","R","0","0","0","0","0","0","0"
"AKA 2002","AKA","2002","123",NA,"6.0","335","R","0","0","0","1","0","0","0"
"AVP: Alien Vs. Predator 2004","AVP: Alien Vs. Predator","2004","102","45000000","5.4","14651","PG-13","1","0","0","0","0","0","0"
"Abandon 2002","Abandon","2002","99","25000000","4.7","2364","PG-13","0","0","0","1","0","0","0"
"About Adam 2000","About Adam","2000","105",NA,"6.4","1303","R","0","0","1","0","0","1","0"
"About Schmidt 2002","About Schmidt","2002","125","30000000","7.3","23279","R","0","0","1","1","0","0","0"
"About a Boy 2002","About a Boy","2002","101","27000000","7.5","18318","PG-13","0","0","1","1","0","0","0"
"Above Suspicion 2000","Above Suspicion","2000","92",NA,"5.8","128","R","0","0","0","1","0","0","0"
"Absolon 2003","Absolon","2003","96","8000000","4.1","548","R","1","0","0","0","0","0","0"
"According to Spencer 2001","According to Spencer","2001","95",NA,"4.1","124","R","0","0","1","0","0","1","0"
"Active Stealth 1999","Active Stealth","1999","99",NA,"3.0","146","R","1","0","0","0","0","0","0"
"Actors, The 2003","Actors, The","2003","91",NA,"5.6","211","R","0","0","1","0","0","0","0"
"Adaptation. 2002","Adaptation.","2002","114","19000000","7.9","25140","R","0","0","1","1","0","0","0"
"Adventures of Pluto Nash, The 2002","Adventures of Pluto Nash, The","2002","95","100000000","3.9","2543","PG-13","1","0","1","0","0","0","0"
"Adventures of Rocky & Bullwinkle, The 2000","Adventures of Rocky & Bullwinkle, The","2000","88","76000000","4.3","4815","PG","0","1","1","0","0","0","0"
"Affair of the Necklace, The 2001","Affair of the Necklace, The","2001","118",NA,"6.0","963","R","0","0","0","1","0","0","0"
"After Alice 1999","After Alice","1999","100",NA,"5.3","446","R","0","0","0","1","0","0","0"
"After the Sunset 2004","After the Sunset","2004","97","58000000","6.0","3431","PG-13","1","0","1","0","0","0","0"
"Against the Ropes 2004","Against the Ropes","2004","111",NA,"5.2","1058","PG-13","0","0","0","1","0","0","0"
"Agent Cody Banks 2003","Agent Cody Banks","2003","102","26000000","5.5","2655","PG","1","0","1","0","0","0","0"
"Agent Cody Banks 2: Destination London 2004","Agent Cody Banks 2: Destination London","2004","100","26000000","3.8","919","PG","1","0","1","0","0","0","0"
"Agnes Browne 1999","Agnes Browne","1999","92",NA,"6.0","572","R","0","0","1","1","0","0","0"
"Agronomist, The 2003","Agronomist, The","2003","90",NA,"7.3","146","PG-13","0","0","0","0","1","0","0"
"Aileen: Life and Death of a Serial Killer 2003","Aileen: Life and Death of a Serial Killer","2003","89",NA,"7.2","430","R","0","0","0","0","1","0","0"
"Alamo, The 2004","Alamo, The","2004","137","95000000","5.9","3060","PG-13","1","0","0","1","0","0","0"
"Alex & Emma 2003","Alex & Emma","2003","96",NA,"5.3","2176","PG-13","0","0","1","1","0","1","0"
"Alexander 2004","Alexander","2004","175","150000000","5.5","11254","R","0","0","0","1","0","0","0"
"Alfie 2004","Alfie","2004","103","60000000","6.0","3492","R","0","0","1","1","0","0","0"
"Ali 2001","Ali","2001","165","107000000","6.4","9294","R","0","0","0","1","0","0","0"
"Ali G Indahouse 2002","Ali G Indahouse","2002","88",NA,"5.8","4496","R","0","0","1","0","0","0","0"
"Alien Hunter 2003","Alien Hunter","2003","92",NA,"5.0","563","R","1","0","0","0","0","0","0"
"All About the Benjamins 2002","All About the Benjamins","2002","95","14000000","5.4","1250","R","1","0","1","0","0","0","0"
"All Forgotten 2000","All Forgotten","2000","106",NA,"4.5","139","PG-13","0","0","0","1","0","1","0"
"All New Adventures of Laurel & Hardy: For Love or Mummy, The 1999","All New Adventures of Laurel & Hardy: For Love or Mummy, The","1999","85",NA,"3.1","112","PG","0","0","1","0","0","0","0"
"All Over the Guy 2001","All Over the Guy","2001","95",NA,"6.4","1039","R","0","0","1","0","0","1","0"
"All the Pretty Horses 2000","All the Pretty Horses","2000","116","45000000","5.6","3133","PG-13","0","0","0","1","0","0","0"
"All the Queen's Men 2001","All the Queen's Men","2001","105","25000000","5.0","353","PG-13","1","0","1","1","0","0","0"
"All the Rage 1999","All the Rage","1999","99",NA,"5.7","670","R","0","0","0","1","0","0","0"
"All the Real Girls 2003","All the Real Girls","2003","108","1000000","6.8","1745","R","0","0","0","1","0","1","0"
"Almost Famous 2000","Almost Famous","2000","162","60000000","8.0","38648","R","0","0","1","1","0","0","0"
"Alone 2002","Alone","2002","110",NA,"4.6","232","R","0","0","0","0","0","0","0"
"Alone in the Dark 2005","Alone in the Dark","2005","96","20000000","2.1","2880","R","1","0","0","0","0","0","0"
"Along Came Polly 2004","Along Came Polly","2004","90","42000000","5.8","9785","PG-13","0","0","1","0","0","1","0"
"Along Came a Spider 2001","Along Came a Spider","2001","104","28000000","6.1","9456","R","0","0","0","1","0","0","0"
"Amandla! A Revolution In Four Part Harmony 2002","Amandla! A Revolution In Four Part Harmony","2002","108",NA,"7.3","162","PG-13","0","0","0","0","1","0","0"
"Amar te duele 2002","Amar te duele","2002","104",NA,"7.1","102","R","0","0","0","1","0","1","0"
"Amati Girls, The 2000","Amati Girls, The","2000","91",NA,"3.4","161","PG","0","0","0","1","0","0","0"
"Amazons and Gladiators 2001","Amazons and Gladiators","2001","89",NA,"4.0","233","R","1","0","0","1","0","0","0"
"America's Sweethearts 2001","America's Sweethearts","2001","102","48000000","5.8","11849","PG-13","0","0","1","0","0","1","0"
"American Beauty 1999","American Beauty","1999","121","15000000","8.5","109991","R","0","0","0","1","0","0","0"
"American Chai 2001","American Chai","2001","92",NA,"6.1","148","R","0","0","1","1","0","0","0"
"American Gun 2002","American Gun","2002","89",NA,"6.0","267","R","0","0","0","1","0","0","0"
"American Movie: The Making of Northwestern 1999","American Movie: The Making of Northwestern","1999","107",NA,"7.5","3421","R","0","0","0","0","1","0","0"
"American Outlaws 2001","American Outlaws","2001","94","35000000","5.5","2878","PG-13","1","0","1","0","0","0","0"
"American Pie 1999","American Pie","1999","95","11000000","6.8","41126","R","0","0","1","0","0","0","0"
"American Pie 2 2001","American Pie 2","2001","105","30000000","6.3","22752","R","0","0","1","0","0","0","0"
"American Psycho 2000","American Psycho","2000","102","8000000","6.8","21639","R","0","0","0","1","0","0","0"
"American Rhapsody, An 2001","American Rhapsody, An","2001","106",NA,"7.0","732","PG-13","0","0","0","1","0","0","0"
"American Splendor 2003","American Splendor","2003","101",NA,"7.8","8530","R","0","0","1","1","0","0","0"
"American Virgin 2000","American Virgin","2000","88",NA,"3.7","506","R","0","0","1","0","0","0","0"
"American Wedding 2003","American Wedding","2003","103","55000000","6.3","13590","R","0","0","1","0","0","0","0"
"Amityville Horror, The 2005","Amityville Horror, The","2005","90","18000000","5.8","2945","R","0","0","0","0","0","0","0"
"Amores perros 2000","Amores perros","2000","153","2000000","8.2","15079","R","0","0","0","1","0","0","0"
"Amy's Orgasm 2001","Amy's Orgasm","2001","87",NA,"5.3","519","R","0","0","1","0","0","1","0"
"Anacondas: The Hunt for the Blood Orchid 2004","Anacondas: The Hunt for the Blood Orchid","2004","97","25000000","4.2","2258","PG-13","0","0","0","0","0","0","0"
"Analyze That 2002","Analyze That","2002","96",NA,"5.5","6863","R","0","0","1","0","0","0","0"
"Analyze This 1999","Analyze This","1999","109","30000000","6.6","24521","R","0","0","1","0","0","0","0"
"Anarchist Cookbook, The 2002","Anarchist Cookbook, The","2002","101",NA,"5.5","318","R","0","0","1","1","0","1","0"
"Anatomie 2000","Anatomie","2000","103",NA,"6.1","2501","R","0","0","0","0","0","0","0"
